"name","pop","lat","long"
"Madaniyin",66403,33.35,10.49
"Manfredonia",57222,41.63,15.9
"Verona",262145,45.44,10.99
"Qalibiyah",37728,36.86,11.09
"Maribor",87946,46.55,15.64
"Taranto",196069,40.48,17.24
"Messina",244766,38.19,15.55
"Ragusa",73460,36.93,14.73
"Nuoro",36713,40.34,9.33
"Olbia",50008,40.93,9.5
"Oristano",33691,39.91,8.58
"Osijek",87544,45.55,18.68
"Padova",213469,45.41,11.87
"Parma",179798,44.81,10.32
"Pavia",71511,45.2,9.15
"Perugia",161810,43.11,12.39
"Piacenza",100969,45.06,9.68
"Pinerolo",34524,44.9,7.33
"Piombino",34528,42.94,10.53
"Pordenone",51937,45.97,12.65
"Potenza",68742,40.66,15.79
"Pula",59194,44.88,13.84
"Qabis",110718,33.9,10.1
"Qafsah",81878,34.42,8.78
"Safaqis",281491,34.75,10.72
"al-Munastir",65765,35.79,10.82
"Rapallo",30862,44.36,9.23
"Rapperswil",52614,47.24,8.83
"Rimini",137582,44.06,12.57
"Rieti",48613,42.41,12.86
"Rijeka",140469,45.33,14.44
"Rosignano Marittimo",32064,43.41,10.47
"Trento",112925,46.08,11.12
"Rovigo",51107,45.08,11.78
"Saint Gall",70298,47.44,9.36
"Salzburg",145394,47.81,13.04
"San Dona di Piave",39611,45.64,12.56
"Sankt Polten",48924,48.21,15.61
"Sassari",126860,40.73,8.56
"Savona",62583,44.32,8.46
"Schaffhausen",33890,47.71,8.62
"Vicenza",117264,45.55,11.54
"Sciacca",41236,37.51,13.07
"Zagreb",700717,45.8,15.97
"Sibenik",37120,43.74,15.89
"Sidi Bu Zayd",43203,35.04,9.5
"Siena",55475,43.33,11.32
"Sisak",35478,45.48,16.36
"Slavonski Brod",61281,45.16,18.01
"Split",176589,43.51,16.45
"Steyr",39578,48.04,14.41
"Tatawin",63957,32.93,10.45
"Tawzar",35453,33.93,8.13
"Termoli",31484,41.98,15.02
"Trapani",72161,38.03,12.52
"Trieste",204051,45.65,13.77
"Udine",97037,46.07,13.24
"Varazdin",41897,46.31,16.33
"Vasto",38264,42.12,14.7
"Verbania",31129,45.94,8.55
"Vibo Valentia",33590,38.69,16.11
"Vienna",1570976,48.22,16.37
"Villach",59174,46.62,13.85
"Vinkovci",33328,45.29,18.8
"Viterbo",61440,42.42,12.09
"Wels",58317,48.17,14.03
"Wiener Neustadt",38705,47.82,16.24
"Zurich",338754,47.38,8.54
"Zadar",71688,44.12,15.24
"al-Hammah",36747,33.89,9.79
"al-Kaf",48496,36.19,8.71
"al-Mitlawi",42235,34.33,8.41
"al-Qasrayn",83404,35.18,8.83
"al-Qayrawan",121094,35.68,10.1
"'Amman",1303197,31.95,35.93
"al-Jilfah",223124,34.68,3.25
"Constantine",446693,36.36,6.6
"Vigo",294480,42.22,-8.71
"Aachen",273472,50.77,6.09
"Arhus",228764,56.16,10.21
"Aberdeen",184031,57.15,-2.1
"Cairo",7836243,30.06,31.25
"Adana",1271894,37,35.32
"Istanbul",10034830,41.1,29
"Diyarbakir",665699,37.92,40.23
"Antalya",792373,36.89,30.71
"Agadir",718498,30.42,-9.61
"Marseille",793352,43.31,5.37
"Benghazi",665689,32.12,20.07
"Kayseri",603693,38.74,35.48
"Murcia",415159,37.98,-1.13
"Konya",903797,37.88,32.48
"Madrid",3146804,40.42,-3.71
"Luhans'k",449390,48.57,39.33
"Aleppo",1626218,36.23,37.17
"Alexandria (Egypt)",3865502,31.22,29.95
"Tangier",707417,35.79,-5.81
"Algiers",2029936,36.77,3.04
"Amsterdam",744159,52.37,4.89
"Malaga",553916,36.72,-4.42
"Lisbon",508209,38.72,-9.14
"Paris",2141839,48.86,2.34
"Toulouse",439228,43.62,1.45
"Le Havre",185060,49.5,0.12
"Ankara",3579706,39.93,32.85
"Brussels",1031925,50.83,4.33
"Groningen",183198,53.23,6.57
"Ara'ar",151881,30.99,41.02
"Belgrade",1113589,44.83,20.5
"Arkhangelsk",340837,64.57,40.53
"Stavropol",365936,45.04,41.97
"Nizhniy Novgorod",1275318,56.33,44
"Gazzah",452471,31.53,34.44
"Athens",725049,37.98,23.73
"Munich",1272179,48.14,11.58
"Izmir",2557851,38.43,27.15
"Baghdad",5753612,33.33,44.44
"Babrujsk",220234,53.13,29.19
"Galati",292307,45.44,28.04
"Badajoz",141366,38.88,-6.97
"Barcelona",1591485,41.4,2.17
"Cluj-Napoca",316129,46.78,23.59
"Moscow",10472629,55.75,37.62
"Iasi",316542,47.17,27.57
"Corlu",214703,41.17,27.8
"Banja Luka",232419,44.78,17.19
"Baranavicy",169100,53.14,26.02
"Batnah",286034,35.57,6.17
"Minsk",1747482,53.91,27.55
"Southend-on-Sea",164015,51.55,0.71
"Bassar",144928,31.61,-2.23
"Jerusalem",731731,31.78,35.22
"Rostov-na-Donu",1076897,47.24,39.71
"Van",391568,38.49,43.4
"Kutaisi",175700,42.26,42.72
"Damascus",1580909,33.5,36.32
"Dublin",1030431,53.33,-6.25
"Kharkiv",1421205,49.98,36.22
"Casablanca",3177281,33.6,-7.62
"Donetsk",980419,48,37.82
"Bergen",214633,60.38,5.34
"Essen",596204,51.47,7
"Berlin",3378275,52.52,13.38
"Strasbourg",276391,48.58,7.76
"Hrodna",320164,53.67,23.83
"Bremen",547915,53.08,8.81
"Cracow",753829,50.06,19.96
"Kiev",2491404,50.43,30.52
"Bilbao",350782,43.25,-2.93
"Birmingham",986969,52.48,-1.91
"Liverpool",468584,53.42,-2.99
"Bordeaux",234086,44.84,-0.58
"Cologne",960974,50.95,6.97
"Southampton",249189,50.91,-1.41
"Leeds",457875,53.81,-1.55
"Craiova",304449,44.33,23.82
"Bratislava",422452,48.16,17.13
"Rotterdam",597481,51.93,4.48
"Plymouth",247923,50.38,-4.16
"London",7489022,51.52,-0.1
"Bristol",432967,51.46,-2.6
"Hanover",514259,52.4,9.73
"Bryansk",425841,53.26,34.42
"Bucharest",1862930,44.44,26.1
"Budapest",1700019,47.51,19.08
"Varna",312392,43.21,27.9
"Lodz",762615,51.77,19.46
"Sevilla",702516,37.4,-5.98
"Valencia",803438,39.48,-0.39
"Dresden",489883,51.05,13.74
"Cherepovets",311884,59.13,37.9
"Cherkasy",298152,49.43,32.07
"Homjel'",480482,52.43,30.99
"Odesa",995028,46.47,30.73
"Clermont-Ferrand",138524,45.78,3.08
"Norwich",178388,52.65,1.28
"Copenhagen",1091978,55.68,12.57
"Cork",189692,51.9,-8.47
"Samsun",399692,41.29,36.33
"al-Mawsil",2143094,36.34,43.14
"Frankfurt",642811,50.12,8.68
"Daugavpils",110935,55.88,26.51
"Dayr az-Zawr",252588,35.33,40.13
"Kosice",236684,48.73,21.26
"Lyon",475995,45.76,4.83
"Poltava",317931,49.58,34.57
"Douglas",25621,54.15,-4.48
"Drobeta-Turnu Severin",101669,44.64,22.66
"Glasgow",607192,55.87,-4.27
"Tirana",380403,41.33,19.82
"Plovdiv",340394,42.15,24.75
"Marrakesh",855592,31.63,-8
"Erzurum",433178,39.91,41.29
"Gdansk",462138,54.36,18.64
"Kolomna",146893,55.08,38.78
"Elista",107891,46.32,44.21
"Leipzig",502467,51.35,12.4
"Helsinki",558341,60.17,24.94
"Fez",983226,34.05,-5
"Sa'idah",129821,34.84,0.14
"Gijon",272046,43.53,-5.67
"Ordu",117485,40.99,37.88
"Goteborg",518990,57.72,12.01
"Yerevan",1090537,40.17,44.52
"Hamburg",1743891,53.55,10
"Stuttgart",590367,48.79,9.19
"Iraklion",138749,35.33,25.13
"Irbil",962936,36.19,44.02
"Khmel'nyts'kyy",257639,49.42,27
"Yaroslavl",604725,57.62,39.87
"Kaliningrad",436762,54.71,20.5
"Tula",464781,54.2,37.61
"Riga",738386,56.97,24.13
"Krasnodar",651249,45.03,38.98
"Kryvyy Rih",648399,47.92,33.35
"Warsaw",1634441,52.26,21.02
"Saint Petersburg",4014710,59.93,30.32
"Koszalin",107115,54.19,16.18
"Kovrov",153826,56.36,41.32
"Skopje",477493,42,21.47
"L'viv",714131,49.83,24
"Thessaloniki",351646,40.64,22.94
"Wroclaw",633276,51.11,17.03
"Nicosia",202488,35.16,33.38
"Limoges",141921,45.83,1.25
"Voronezh",837946,51.72,39.26
"Lublin",361119,51.24,22.57
"Saarbrucken",180607,49.25,6.97
"Mahiljow",366763,53.9,30.33
"Sochi",327224,43.6,39.73
"Newcastle upon Tyne",192870,55,-1.6
"Misratah",406803,32.38,15.09
"Nice",337891,43.7,7.27
"Montpellier",251700,43.61,3.87
"Sarajevo",737350,43.85,18.38
"Murmansk",313699,68.96,33.08
"Nantes",277979,47.23,-1.57
"Vladikavkaz",318062,43.04,44.68
"Oslo",821445,59.91,10.75
"Wahran",642498,35.7,-0.62
"Oulu",129998,65.02,25.47
"Patrai",164059,38.24,21.73
"Prague",1168374,50.08,14.43
"Podgorica",160103,42.47,19.28
"Pskov",201742,57.83,28.33
"Reims",197660,49.25,4.03
"Reykjavik",114576,64.14,-21.92
"Ryazan",519749,54.62,39.74
"Tripoli",1164634,32.87,13.18
"Saint Helier",28910,49.19,-2.11
"Valladolid",322933,41.65,-4.74
"Salihorsk",101937,52.82,27.53
"ar-Ramadi",278766,33.43,43.31
"Simferopol'",342308,44.95,34.1
"Sofia",1166143,42.69,23.31
"Stockholm",1260712,59.33,18.07
"Surt",133896,31.21,16.59
"Tambov",290055,52.73,41.43
"Tartu",100996,58.38,26.71
"Tiyarat",180530,35.38,1.32
"Torshavn",13313,62.03,-6.8
"Trondheim",148492,63.44,10.4
"Tubruq",124342,32.08,23.96
"Turku",176425,60.45,22.25
"Vaduz",5248,47.14,9.53
"Valletta",6748,35.91,14.52
"Velikiy Novgorod",214461,58.52,31.28
"Vilnius",542014,54.7,25.27
"Vinnytsya",351032,49.23,28.48
"Volgodonsk",168212,47.51,42.15
"Volgograd",1010221,48.71,44.48
"Warqla",155618,31.97,5.34
"Zaragoza",658186,41.65,-0.89
"al-Bayda",121533,32.76,21.62
